IncidentID,start,end,RoadName,CommonName,Direction,CrossStreetName,CrossStCommonName,Latitude,ConditionName,IncidentType,Event,EventName,Reason,day,dur
377125,2011-08-24T13:45:00Z,2011-08-28T02:00:00Z,SR-1730,Elwell Ferry Rd,Heading East,NC-53,NC-53,34.47414645,Road Closed,Weather Event,1,None,"The Elwell Ferry is closed due to high water; however, both ends of Elwell Ferry Rd. (S.R. 1730) will remain open.",2011-08-24,3.5104166666666665
393784,2011-11-04T12:41:00Z,2011-11-04T14:05:14Z,US-441,NA,Both Directions,NA,NA,35.59224701,Road Closed,Weather Event,1,None,US 441 through the Great Smoky Mountain National Park is closed due to ice and snow on the roadway.,2011-11-04,0.058495370370370364
393831,2011-11-05T10:00:00Z,2011-11-05T14:22:21Z,NC-12,NC 12,Both Directions,US-70,US-70,34.89003825,Road Closed,Weather Event,1,None,Tidal flooding has covered portions of NC 12 between Atlantic and Cedar Island. Road is currently impassable. Conditions expected to improve later this morning.,2011-11-05,0.1821875
394615,2011-11-29T13:24:00Z,2011-11-30T14:00:00Z,SR-1540,Wilson Rd,Heading South,SR-1504,SR-1504,35.23716018,Road Closed,Weather Event,1,None,Due to high water Rd is closed.,2011-11-29,1.025
394616,2011-11-29T13:46:00Z,2011-11-29T18:04:49Z,SR-1127,Green Rd,Heading South,US-64,US-64,35.82457493,Road Closed,Weather Event,1,None,Due to High Water Rd is Closed,2011-11-29,0.1797337962962963
394617,2011-11-29T13:56:00Z,2011-11-30T14:00:00Z,SR-1110,Island Ford Rd,Heading South,US-64,US-64,35.79565971,Road Closed,Weather Event,1,None,Due to High water Rd is Closed,2011-11-29,0.961261574074074
394618,2011-11-29T14:13:00Z,2011-11-30T14:00:00Z,SR-1207,Barclay R,Heading South,US-276,US-276,-25.46956991,Road Closed,Weather Event,1,None,Due to High Water Rd Closed,2011-11-29,0.26180555555555557
394619,2011-11-29T14:16:00Z,2011-11-30T14:00:00Z,SR-1536,Cascade Lake Rd,Heading South,SR-1528,Crab Creek Rd,36.34242191,Road Closed,Weather Event,1,None,Due to High Water Rd Closed,2011-11-29,0.9888888888888888
394620,2011-11-29T14:19:00Z,2011-11-30T14:00:00Z,SR-1535,Merrill Lane,Heading North,SR-1536,Cascade Lake Rd,36.336716,Road Closed,Weather Event,1,None,Due to High Water Rd is Closed,2011-11-29,0.9868055555555555
394622,2011-11-29T14:29:00Z,2011-11-30T14:00:00Z,SR-1534,Hart Rd,Heading East,SR-1533,Everett Rd,35.25278002,Road Closed,Weather Event,1,None,Due to High Water Rd Is Closed,2011-11-29,0.9798611111111111
394626,2011-11-29T14:41:00Z,2011-11-30T14:00:00Z,SR-1119,Sugar Loaf,Heading South,SR-1118,SR-1118,34.87098031,Road Closed,Weather Event,1,None,Due to High Water Rd is Closed,2011-11-29,0.930486111111111
394630,2011-11-29T15:17:00Z,2011-11-30T20:30:00Z,SR-1345,Farmers Fish Camp,Heading North,NC-93,NC-93,36.54262014,Road Closed,Weather Event,1,None,The road is closed near NC-93.,2011-11-29,1.2173611111111111
394654,2011-11-29T19:20:00Z,2011-12-02T22:00:00Z,SR-1191,NA,Both Directions,SR-1191,SR-1191,35.29813954,Road Closed,Weather Event,1,None,Road Closed due to High Water at intersection,2011-11-29,3.111111111111111
394655,2011-11-29T19:19:00Z,2011-11-30T22:00:00Z,SR-1353,Hooper LN,Both Directions,NC-191,NC-191,35.37939973,Road Closed,Weather Event,1,None,Road Closed Due to High Water,2011-11-29,1.1118055555555555
394766,2011-12-01T20:50:00Z,2011-12-08T22:00:00Z,SR-1730,Elwell Ferry Rd,Both Directions,NA,NA,34.47419148,Road Closed,Weather Event,1,None,Elwell Ferry Road is closed due to high water at the Cape Fear River.,2011-12-01,7.048611111111111
394962,2011-12-07T15:06:00Z,2011-12-08T14:00:00Z,SR-1433,scenic valley,Heading South,SR-1444,SR-1444,36.333599,Road Closed,Weather Event,1,None,NA,2011-12-07,0.9541666666666666
394971,2011-12-07T20:20:00Z,2011-12-09T14:00:00Z,SR-1345,Farmers Fish Camp,Heading North,NC-93,NC-93,36.54262014,Road Closed,Weather Event,1,None,Bridge flooded due to heavy rains,2011-12-07,1.736111111111111
394976,2011-12-07T21:36:00Z,2011-12-08T15:46:11Z,US-441,Newfound Gap Rd,Both Directions,NA,NA,35.59677476,Road Closed,Weather Event,1,None,"All lanes closed in both directions on US-441, North West of Sylva, due to inclement weather.",2011-12-07,0.7570717592592592
